2022-12-13T11:20:40.367217+0300 | INFO | <bookmarks>. Добавлено документов 8 из 10
2022-12-13T11:20:40.371711+0300 | INFO | <bookmarks>. Добавлено документов 9 из 10
2022-12-13T11:20:40.375108+0300 | INFO | <bookmarks>. Добавлено документов 10 из 10
2022-12-13T11:20:40.375286+0300 | INFO | <bookmarks>. Время загрузки данных: 0:00:00.031513
2022-12-13T11:59:28.344133+0300 | INFO | Command movies.likes.create start at 2022-12-13 11:59:28.341605 execute for 0:00:00.002506
2022-12-13T11:59:28.374782+0300 | INFO | Command admin.likes.shardCollection start at 2022-12-13 11:59:28.344300 execute for 0:00:00.030452
2022-12-13T11:59:28.376653+0300 | INFO | Command movies.reviews.create start at 2022-12-13 11:59:28.375026 execute for 0:00:00.001609
2022-12-13T11:59:28.405410+0300 | INFO | Command admin.reviews.shardCollection start at 2022-12-13 11:59:28.376809 execute for 0:00:00.028576
2022-12-13T11:59:28.408860+0300 | INFO | Command movies.reviews_likes.create start at 2022-12-13 11:59:28.405631 execute for 0:00:00.003200
2022-12-13T11:59:28.433464+0300 | INFO | Command admin.reviews_likes.shardCollection start at 2022-12-13 11:59:28.409099 execute for 0:00:00.024336
2022-12-13T11:59:28.435575+0300 | INFO | Command movies.bookmarks.create start at 2022-12-13 11:59:28.433669 execute for 0:00:00.001880
2022-12-13T11:59:28.464153+0300 | INFO | Command admin.bookmarks.shardCollection start at 2022-12-13 11:59:28.435760 execute for 0:00:00.028347
